2016-11-22 13:34:14,827 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: unice.miage.m1.projet:Plugin:1.0-SNAPSHOT @ /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/pom.xml.
2016-11-22 13:34:14,846 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for unice.miage.m1.projet:Plugin:jar:1.0-SNAPSHOT is missing, no dependency information available
2016-11-22 13:34:14,992 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: unice.miage.m1.projet:Moteur:1.0-SNAPSHOT @ /home/deptinfo/Documents/Projet-PA-RobotWAr/Moteur/pom.xml.
2016-11-22 13:34:15,113 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:15,114 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/src/main/resources
2016-11-22 13:34:15,118 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:15,119 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/src/test/resources
2016-11-22 13:34:15,373 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:15,374 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Moteur/src/main/resources
2016-11-22 13:34:15,379 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:15,380 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Moteur/src/test/resources
2016-11-22 13:34:34,498 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for unice.miage.m1.projet:Plugin:jar:1.0-SNAPSHOT is missing, no dependency information available
2016-11-22 13:34:34,785 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: unice.miage.m1.projet:Plugin:1.0-SNAPSHOT @ /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/pom.xml.
